Price,Year,Mileage,City,State,Vin,Make,Model
52995,2013,35638,Manassas, VA,5YJSA1CN8DFP21564,Tesla,Model
54988,2014,20434,Birmingham, AL,5YJSA1H13EFP61333,Tesla,Model
52992,2014,53887,Murrieta, CA,5YJSA1H13EFP42250,Tesla,Model
53800,2013,28758,Warrenville, IL,5YJSA1CP6DFP05588,Tesla,Model
54988,2013,15268,Lauderdale Lakes, FL,5YJSA1CPXDFP08817,Tesla,Model
52995,2013,39892,San Diego, CA,5YJSA1CP5DFP06599,Tesla,Model
54979,2014,28653,Addison, TX,5YJSA1H17EFP32109,Tesla,Model
54995,2014,28855,Honolulu, HI,5YJSA1H18EFP45046,Tesla,Model
54995,2013,20805,San Diego, CA,5YJSA1CN9DFP21511,Tesla,Model
53988,2013,34880,Sarasota, FL,5YJSA1DP9DFP25199,Tesla,Model
54888,2013,24547,Westminster, CA,5YJSA1CN8DFP22634,Tesla,Model
53988,2013,37697,Walnut Creek, CA,5YJSA1CPXDFP21454,Tesla,Model
45250,2013,53510,Louisville, KY,5YJSA1AC4DFP10501,Tesla,Model
56500,2014,23000,Las Vegas, NV,5YJSA1H1XEFP33206,Tesla,Model
56994,2014,27660,salt lake, UT,5YJSA1H1XEFP55982,Tesla,Model
54990,2014,48480,Glendale, CA,5YJSA1H10EFP32971,Tesla,Model
55750,2014,35408,Beverly Hills, CA,5YJSA1H16EFP29332,Tesla,Model
56000,2014,36127,New Port Richey, FL,5YJSA1H18EFP33849,Tesla,Model
56995,2014,24654,Salt Lake City, UT,5YJSA1H14EFP45190,Tesla,Model
57000,2014,26761,New Port Richey, FL,5YJSA1H14EFP52088,Tesla,Model
57795,2013,15378,Boxborough, MA,5YJSA1DP7DFP17800,Tesla,Model
58230,2014,15830,Philadelphia, PA,5YJSA1H14EFP38434,Tesla,Model
59900,2015,19731,Costa Mesa, CA,5YJSA1E18FF117428,Tesla,Model
58230,2014,22836,Philadelphia, PA,5YJSA1H18EFP32846,Tesla,Model
56995,2013,35549,San Diego, CA,5YJSA1DP5DFP09971,Tesla,Model
59990,2015,16534,Houston, TX,5YJSA1H12FF084115,Tesla,Model
55980,2013,45269,Philadelphia, PA,5YJSA1DP9DFP12761,Tesla,Model
59671,2014,23167,Corte Madera, CA,5YJSA1H15EFP57087,Tesla,Model
59980,2014,8605,Philadelphia, PA,5YJSA1H15EFP49359,Tesla,Model
49995,2013,36995,Chicago, IL,5YJSA1CG8DFP09285,Tesla,Model
46600,2014,25040,Chicago, IL,5YJSA1S13EFP49353,Tesla,Model
63800,2016,12519,Kirkland, WA,5YJSA1E15GF133295,Tesla,Model
61785,2014,17750,Addison, TX,5YJSA1H14EFP32908,Tesla,Model
63888,2015,15047,Chicago, IL,5YJSA1E26FF103844,Tesla,Model
46585,2013,51483,Manchester, NH,5YJSA1CP6DFP19524,Tesla,Model
46475,2014,45972,Marietta, GA,5YJSA1H16EFP33378,Tesla,Model
55995,2014,9300,Shrewsbury, MA,5YJSA1S11EFP30378,Tesla,Model
65999,2015,14978,Lynnwood, WA,5YJSA1E28FF118457,Tesla,Model
47995,2014,36237,Manassas, VA,5YJSA1H11EFP41596,Tesla,Model
64998,2015,15015,Bellevue, WA,5YJSA1S28FF089689,Tesla,Model
63990,2015,29850,Las Vegas, NV,5YJSA1H29FF084105,Tesla,Model
67230,2016,3138,Philadelphia, PA,5YJSA1E24GF150968,Tesla,Model
49995,2013,20430,Manassas, VA,5YJSA1DP8DFP06465,Tesla,Model
67991,2015,12215,McKinney, TX,5YJSA1E28FF119205,Tesla,Model
65995,2015,37626,Virginia Beach, VA,5YJSA1H27FFP69669,Tesla,Model
69987,2015,14788,Highlands Ranch, CO,5YJSA1H2XFFP78589,Tesla,Model
69999,2016,993,West Palm Beach, FL,5YJSA1E2XGF139117,Tesla,Model
70480,2017,3038,Philadelphia, PA,5YJSA1E11HF199070,Tesla,Model
69980,2016,8222,Philadelphia, PA,5YJSA1E21GF173396,Tesla,Model
49999,2010,31647,Marrieta, GA,5YJRE1A10A1001042,Tesla,Roadster2dr
53993,2014,24255,Murfreesboro, TN,5YJSA1H10EFP37104,Tesla,Model
69800,2015,23062,Westmont, IL,5YJSA1E25FF101096,Tesla,Model
55499,2013,23360,Burien, WA,5YJSA1CP5DFP04092,Tesla,Model
69996,2015,23659,Bellevue, WA,5YJSA1H26FF099208,Tesla,Model
51994,2008,7057,Dallas, TX,5YJRE11B881000241,Tesla,Roadster2dr
68680,2014,37015,Houston, TX,5YJSA1H23EFP66654,Tesla,Model
67000,2014,58672,Highland Park, IL,5YJSA1H2XEFP64206,Tesla,Model
52911,2010,39138,SARASOTA, FL,5YJRE1A10A1000778,Tesla,Roadster2dr
70995,2016,29604,Victorville, CA,5YJSA1E22GF132629,Tesla,Model
71742,2015,21444,Lewisville, TX,5YJSA1E25FF104502,Tesla,Model
73800,2016,2350,Warrenville, IL,5YJSA1E21GF172698,Tesla,Model
73488,2015,18676,Reno, NV,5YJSA4H28FFP77247,Tesla,Model
72995,2016,16776,Victorville, CA,5YJSA1E27GF125837,Tesla,Model
72983,2016,22796,Lewisville, TX,5YJSA1E23GF120408,Tesla,Model
73888,2016,13059,Costa Mesa, CA,5YJSA1E26GF143696,Tesla,Model
74987,2016,1594,Denver, NC,5YJSA1E24GF154499,Tesla,Model
71990,2015,33672,Addison, IL,5YJSA4H26FFP74282,Tesla,Model
74995,2015,10389,Scottsdale, AZ,5YJSA1H26FF080352,Tesla,Model
74995,2015,14579,Dallas, TX,5YJSA4H49FF089212,Tesla,Model
74999,2015,19533,Boulder, CO,5YJSA1H28FFP77375,Tesla,Model
59999,2014,19614,Phoenix, AZ,5YJSA1H1XEFP38079,Tesla,Model
75800,2015,13500,Warrenville, IL,5YJSA1E21FF116775,Tesla,Model
75996,2015,19022,Bellevue, WA,5YJSA4H47FF090598,Tesla,Model
76777,2015,13365,Kirkland, WA,5YJSA1E4XFF115058,Tesla,Model
77890,2015,6875,Denver, CO,5YJSA1E23FF114705,Tesla,Model
78365,2015,14095,Wilsonville, OR,5YJSA1H47FF085013,Tesla,Model
77995,2015,14474,Lewisville, TX,5YJSA1E23FF104157,Tesla,Model
76995,2015,25157,Charlotte, NC,5YJSA1H23FFP74366,Tesla,Model
78790,2015,15674,Portland, OR,5YJSA1H4XFF084454,Tesla,Model
78000,2015,16710,Baltimore, MD,5YJSA1E22FF102531,Tesla,Model
59990,2010,16253,Collierville, TN,5YJRE1A19A1000567,Tesla,Roadster2dr
79849,2015,11716,New Castle, DE,5YJSA1E29FF118175,Tesla,Model
78985,2015,15342,Raleigh, NC,5YJSA1H26FFP79903,Tesla,Model
79988,2016,15476,Mt. Juliet, TN,5YJSA1E24GF140781,Tesla,Model
79999,2015,13875,American Fork, UT,5YJSA1H26FFP69842,Tesla,Model
79995,2015,14045,Arlington Heights, IL,5YJSA1H24FF083458,Tesla,Model
78900,2014,20605,Naperville, IL,5YJSA1H20EFP62416,Tesla,Model
68995,2014,16574,Honolulu, HI,5YJSA1H1XEFP39670,Tesla,Model
81880,2016,9261,Seattle, WA,5YJSA1E27GF160751,Tesla,Model
82325,2015,6461,Naples, FL,5YJSA1E48FF119156,Tesla,Model
73800,2015,8613,Warrenville, IL,5YJSA1H24FFP70939,Tesla,Model
63888,2011,15915,Orange, CA,5YJRE1A37B1001171,Tesla,Roadster
62900,2010,24969,Los Angeles, CA,5YJRE1A19A1000696,Tesla,Roadster2dr
74999,2015,22998,Phoenix, AZ,5YJSA1H20FF089161,Tesla,Model
