,Price,Year,Mileage,State,Vin,Make,Model,Condition,Sales_Channel
586948,19990,2016,15771,NJ,JM1BM1W34G1289988,Mazda,Mazda3S,,Public
59092,17500,2015,38849,IN,KL4CJESB8FB172905,Buick,Encoreawd,,Public
322055,30700,2014,43917,MO,1FTFW1ET0EFA02174,Ford,F-1504Wd,,Public
167404,42000,2016,19021,NC,1GC2KWEG2GZ165470,Chevrolet,Silverado,,Public
162154,14900,2013,45474,NY,1G11C5SA1DF344544,Chevrolet,Malibu1Lt,,Public
334457,19500,2005,133672,PA,1FTWW33P75EB66366,Ford,Super,,Public
835447,10495,2011,68917,IL,3VWBZ7AJ6BM324825,Volkswagen,Jetta,,Public
54746,35850,2014,13829,IN,5UXWX7C59E0E80005,Bmw,X3Xdrive35I,,Public
612629,34561,2015,37002,TX,WDDHF5KB7FB122810,Mercedes-Benz,E-Classe350,,Public
683579,17700,2014,109157,NC,5N1AR2MM2EC668080,Nissan,Pathfindersl,,Public
254002,13998,2016,28055,CA,1FADP3K20GL363944,Ford,Focushatchback,,Public
478723,27995,2015,20915,TX,SAJWA0FS0FPU54718,Jaguar,Xfpremium,,Public
628850,7995,2014,50785,TX,JA32U2FU5EU001727,Mitsubishi,Lanceres,,Public
143648,2950,2007,232367,PA,1GCCS149578107045,Chevrolet,Colorado2Wd,,Public
702169,53999,2015,12478,FL,WP1AB2A53FLB71531,Porsche,Macans,,Public
46665,36942,2015,32393,NV,WBA5B1C50FD919444,Bmw,5,,Public
103107,3710,2011,129687,TN,KL1TD6DE4BB133630,Chevrolet,Aveo5Dr,,Public
711196,22056,2014,104627,CO,1C6RR7LG5ES276675,Ram,"1500Slt,",,Public
643095,15914,2016,37499,CA,1N4AL3AP1GN309990,Nissan,Altima2.5,,Public
662275,18119,2015,22799,TX,KNMAT2MT1FP533437,Nissan,Roguesv,,Public
696696,38850,2015,35982,OH,5N1AA0NE3FN623111,Nissan,Armada4Wd,,Public
163722,33000,2015,63668,GA,3GCUKRECXFG308221,Chevrolet,Silverado,,Public
330400,21987,2011,89469,IL,1FDUF4GY8BEC21382,Ford,Super,,Public
430762,13997,2017,31075,CO,5NPE24AF0HH440762,Hyundai,Sonata2.4L,,Public
773295,17750,2015,21914,KY,JTDKN3DU6F1893514,Toyota,Priusthree,,Public
154622,27491,2015,52949,TX,1GNKRJKD7FJ128833,Chevrolet,Traverseltz,,Public
744318,24700,2017,24735,NH,4S3BNAN69H3010212,Subaru,Legacy2.5I,,Public
752488,14995,2014,23456,IN,4T4BF1FK3ER378952,Toyota,Camryle,,Public
422709,13195,2008,104887,TX,1HGCP26848A025671,Honda,Accord,,Public
363475,21992,2012,98095,TN,1GKS1CE0XCR140867,Gmc,Yukon2Wd,,Public
496885,20799,2015,48001,NV,1C4RJEBG7FC727509,Jeep,Grand,,Public
