,Price,Year,Mileage,State,Vin,Make,Model,Condition,Sales_Channel
400219,3999,2004,217214,CA,1GNEK13T64R159237,Chevrolet,Tahoe,Excellent,Public
388098,0,2016,69422,OH,1GKKVTKD8GJ287205,Gmc,Acadia,Excellent,Public
346455,1300,2001,186320,WI,2C3HE66G72H165879,Chrysler,300M,Good,Public
415392,11488,2013,150530,OK,1FM5K8D85DGA14127,Ford,Explorer,Unknown,Public
905,38500,2017,12118,NC,5TFDY5F18HX612179,Toyota,Tundra Crewmax Sr5 Pickup,Good,Public
273241,12300,2011,57651,FL,2T1BU4EE6BC730996,Toyota,Corolla Sedan 4D,Good,Public
410670,0,2011,172403,OR,1FMCU9D73BKB74435,Ford,Escape,Excellent,Public
181151,5995,2007,115107,MA,1HGFA16837L012065,Honda,Civic Ex,Excellent,Public
419489,12850,2010,97155,IL,JF1GE7E62AH513507,Subaru,Impreza,Excellent,Public
465946,6795,1973,51239,NC,LH23C3B467042,Dodge,Dart Swinger,Unknown,Auction
285738,5500,2002,162000,LA,1FMRU15L12LA41738,Ford,Expedition,Unknown,Public
398222,34981,2017,63874,OK,3C6UR5MJ8HG678839,Ram,2500,Excellent,Public
148638,9989,2015,104135,NJ,NM0GE9E78F1179432,Ford,Transit Connect Wagon,Unknown,Public
18811,7000,2013,130651,NY,JTDKN3DUXD1617933,Toyota,Prius One Hatchback 4D,Good,Public
409446,8975,2011,65111,NJ,KM8JU3AC9BU292547,Hyundai,Tucson Limited,Excellent,Public
229660,19495,2016,43253,OH,1C6RR7YT1GS229829,Ram,1500,Unknown,Public
121646,23499,2015,35841,CT,SALVP2BGXFH045585,Rover,Evoque,Unknown,Public
385957,33995,2017,62481,OR,5UXKR0C3XH0V71655,Bmw,X5 Xdrive35I M Sport Head-U,Unknown,Public
33794,3995,2005,172000,NY,1GTDT19E578159752,Gmc,Sierra 1500,Excellent,Public
265671,6995,2013,131095,TN,1G11E5SA8DF231734,Chevrolet,Malibu,Unknown,Public
323820,33395,2017,39410,OR,1FM5K8HT0HGD91162,Ford,Explorer Platinum,Unknown,Public
372991,1100,2000,253,CA,4T1BG22K8YU648653,Toyota,Camry,Good,Auction
315696,16699,2016,88638,MN,5TDKK3DC6GS721309,Toyota,Sienna,Unknown,Public
26961,15000,2006,165979,PA,1FTSW21526EA25538,Ford,F250 Xlt 4X4,Good,Public
370139,9999,2015,72573,AZ,1N4AL3AP1FN875999,Nissan,Altima,Good,Public
512160,19992,2016,47791,AR,WBA1G9C59GV727109,Bmw,2 Series 228I Xdrive,Good,Public
258173,9499,2014,74763,NY,1g11c5sl4ef189863,Chevrolet,Malibu,Excellent,Public
133851,16500,2011,105000,OK,2T2BK1BA1BC084039,Lexus,Rx 350,Excellent,Public
456640,11982,2017,51022,NC,JA32U2FU5HU003823,Mitsubishi,Lancer,Excellent,Public
14572,14995,2016,40056,OR,nmols6e77g12s7786,Ford,Transit,Like New,Public
284101,1999,1999,208000,MN,4M2ZU55P5XUJ21568,Mercury,Mountaineer,Unknown,Auction
280209,4995,2008,184194,NH,5GAEV23778J275397,Buick,Enclave,Excellent,Public
154735,9199,2011,57139,AZ,JHMZE2H59BS009872,Honda,Insight,Excellent,Public
113166,5999,2007,154584,NC,1GNDS13S472217068,Chevrolet,Trailblazer Lt1 2Wd,Unknown,Public
102955,15750,2011,128312,AK,1FTFW1ET4BFC72505,Ford,F-150 Xlt,Excellent,Public
172230,0,2016,38387,WV,JTEBU5JR2G5307718,Toyota,4Runner,Excellent,Public
396496,16995,2008,134722,ID,1J4GA59158L524477,Jeep,Wrangler,Unknown,Public
